cod;nome;período;valor
24;RN;1989;236
21;MA;1989;411
53;DF;1989;331
50;MS;1989;371
42;SC;1989;354
11;RO;1989;490
43;RS;1989;1561
14;RR;1989;113
27;AL;1989;805
26;PE;1989;2553
51;MT;1989;471
35;SP;1989;9179
31;MG;1989;1216
16;AP;1989;39
15;PA;1989;666
32;ES;1989;845
13;AM;1989;321
29;BA;1989;1086
22;PI;1989;142
17;TO;1989;63
52;GO;1989;810
23;CE;1989;607
41;PR;1989;1112
25;PB;1989;461
28;SE;1989;139
12;AC;1989;95
33;RJ;1989;4290
53;DF;1990;463
15;PA;1990;748
41;PR;1990;1167
16;AP;1990;46
26;PE;1990;2742
24;RN;1990;200
28;SE;1990;151
25;PB;1990;440
21;MA;1990;442
11;RO;1990;555
33;RJ;1990;7101
23;CE;1990;555
52;GO;1990;681
17;TO;1990;54
32;ES;1990;881
22;PI;1990;109
29;BA;1990;867
13;AM;1990;367
35;SP;1990;9503
27;AL;1990;719
51;MT;1990;415
12;AC;1990;64
42;SC;1990;388
14;RR;1990;127
43;RS;1990;1704
31;MG;1990;1178
50;MS;1990;348
23;CE;1991;607
50;MS;1991;388
13;AM;1991;403
43;RS;1991;1694
26;PE;1991;2944
51;MT;1991;452
16;AP;1991;54
11;RO;1991;491
52;GO;1991;852
33;RJ;1991;5055
25;PB;1991;401
28;SE;1991;317
31;MG;1991;1232
24;RN;1991;219
35;SP;1991;9685
17;TO;1991;92
32;ES;1991;968
21;MA;1991;470
53;DF;1991;489
12;AC;1991;106
22;PI;1991;103
27;AL;1991;665
41;PR;1991;1225
14;RR;1991;79
42;SC;1991;355
15;PA;1991;810
29;BA;1991;596
13;AM;1992;351
12;AC;1992;107
17;TO;1992;67
52;GO;1992;828
41;PR;1992;1092
26;PE;1992;2531
15;PA;1992;759
27;AL;1992;591
11;RO;1992;395
22;PI;1992;92
16;AP;1992;73
29;BA;1992;840
33;RJ;1992;4536
35;SP;1992;9116
31;MG;1992;1131
51;MT;1992;355
43;RS;1992;1570
42;SC;1992;361
21;MA;1992;427
14;RR;1992;95
53;DF;1992;424
24;RN;1992;199
32;ES;1992;839
23;CE;1992;537
28;SE;1992;461
50;MS;1992;423
25;PB;1992;355
26;PE;1993;2763
50;MS;1993;457
32;ES;1993;1098
15;PA;1993;623
22;PI;1993;117
28;SE;1993;312
53;DF;1993;553
14;RR;1993;69
35;SP;1993;9224
52;GO;1993;734
27;AL;1993;619
21;MA;1993;394
24;RN;1993;243
25;PB;1993;365
17;TO;1993;93
29;BA;1993;1503
51;MT;1993;356
41;PR;1993;1237
33;RJ;1993;5367
12;AC;1993;116
13;AM;1993;350
31;MG;1993;1211
23;CE;1993;702
42;SC;1993;371
43;RS;1993;1177
16;AP;1993;66
11;RO;1993;498
22;PI;1994;99
21;MA;1994;314
11;RO;1994;399
33;RJ;1994;6420
12;AC;1994;88
23;CE;1994;636
53;DF;1994;556
24;RN;1994;211
27;AL;1994;615
25;PB;1994;385
28;SE;1994;344
52;GO;1994;774
13;AM;1994;387
29;BA;1994;1739
51;MT;1994;316
42;SC;1994;346
14;RR;1994;78
41;PR;1994;1260
26;PE;1994;2593
50;MS;1994;522
15;PA;1994;716
