cod;nome;período;valor
25;PB;1989;409
50;MS;1989;330
29;BA;1989;1000
24;RN;1989;222
43;RS;1989;1419
11;RO;1989;443
13;AM;1989;289
32;ES;1989;763
22;PI;1989;125
35;SP;1989;8508
14;RR;1989;100
17;TO;1989;49
51;MT;1989;440
15;PA;1989;615
41;PR;1989;1004
33;RJ;1989;3980
23;CE;1989;560
52;GO;1989;717
31;MG;1989;1047
26;PE;1989;2379
12;AC;1989;89
42;SC;1989;315
53;DF;1989;308
28;SE;1989;124
21;MA;1989;382
16;AP;1989;36
27;AL;1989;739
50;MS;1990;306
22;PI;1990;104
43;RS;1990;1547
14;RR;1990;107
33;RJ;1990;6614
21;MA;1990;410
12;AC;1990;58
29;BA;1990;782
26;PE;1990;2522
25;PB;1990;399
35;SP;1990;8824
13;AM;1990;332
24;RN;1990;180
28;SE;1990;138
16;AP;1990;40
32;ES;1990;791
53;DF;1990;423
31;MG;1990;1029
27;AL;1990;663
41;PR;1990;1041
11;RO;1990;517
15;PA;1990;669
51;MT;1990;376
17;TO;1990;47
52;GO;1990;620
23;CE;1990;510
42;SC;1990;341
23;CE;1991;554
53;DF;1991;437
11;RO;1991;455
12;AC;1991;97
13;AM;1991;384
29;BA;1991;528
31;MG;1991;1071
32;ES;1991;872
27;AL;1991;590
42;SC;1991;317
41;PR;1991;1073
51;MT;1991;403
15;PA;1991;737
17;TO;1991;83
50;MS;1991;338
21;MA;1991;416
22;PI;1991;92
43;RS;1991;1538
14;RR;1991;70
52;GO;1991;741
26;PE;1991;2706
35;SP;1991;8896
24;RN;1991;202
25;PB;1991;361
28;SE;1991;287
16;AP;1991;49
33;RJ;1991;4672
26;PE;1992;2352
12;AC;1992;94
11;RO;1992;360
53;DF;1992;384
35;SP;1992;8472
23;CE;1992;493
50;MS;1992;365
32;ES;1992;751
13;AM;1992;321
21;MA;1992;395
24;RN;1992;184
43;RS;1992;1409
28;SE;1992;420
31;MG;1992;972
25;PB;1992;319
33;RJ;1992;4212
14;RR;1992;86
22;PI;1992;82
27;AL;1992;538
17;TO;1992;60
29;BA;1992;758
42;SC;1992;311
16;AP;1992;69
41;PR;1992;971
51;MT;1992;316
52;GO;1992;703
15;PA;1992;701
21;MA;1993;359
32;ES;1993;995
24;RN;1993;222
12;AC;1993;101
26;PE;1993;2543
53;DF;1993;503
13;AM;1993;316
27;AL;1993;569
23;CE;1993;640
52;GO;1993;636
22;PI;1993;104
43;RS;1993;1064
14;RR;1993;63
50;MS;1993;413
42;SC;1993;337
15;PA;1993;577
11;RO;1993;439
51;MT;1993;325
25;PB;1993;337
41;PR;1993;1099
31;MG;1993;1028
28;SE;1993;286
35;SP;1993;8498
16;AP;1993;61
29;BA;1993;1364
33;RJ;1993;4972
17;TO;1993;81
31;MG;1994;941
16;AP;1994;109
14;RR;1994;72
13;AM;1994;359
53;DF;1994;505
11;RO;1994;360
35;SP;1994;9194
52;GO;1994;681
28;SE;1994;307
43;RS;1994;1196
25;PB;1994;354
32;ES;1994;1053
22;PI;1994;89
23;CE;1994;573
24;RN;1994;191
15;PA;1994;657
12;AC;1994;77
17;TO;1994;95
51;MT;1994;296
21;MA;1994;289
33;RJ;1994;5922
29;BA;1994;1551
42;SC;1994;301
41;PR;1994;1130
50;MS;1994;472
27;AL;1994;567
26;PE;1994;2399
11;RO;1995;292
15;PA;1995;641
21;MA;1995;344
25;PB;1995;391
13;AM;1995;383
50;MS;1995;582
41;PR;1995;1223
53;DF;1995;572
32;ES;1995;1031
26;PE;1995;2498
12;AC;1995;86
29;BA;1995;1360
35;SP;1995;10596
14;RR;1995;79
28;SE;1995;227
51;MT;1995;516
52;GO;1995;652
43;RS;1995;1288
42;SC;1995;372
22;PI;1995;95
