cod;nome;período;valor
35;SP;1996;1553
32;ES;1996;0
23;CE;1996;0
53;DF;1996;0
43;RS;1996;0
11;RO;1996;0
14;RR;1996;0
24;RN;1996;0
21;MA;1996;0
42;SC;1996;1
13;AM;1996;0
28;SE;1996;0
25;PB;1996;0
16;AP;1996;0
22;PI;1996;0
51;MT;1996;0
41;PR;1996;0
12;AC;1996;1
29;BA;1996;0
17;TO;1996;0
31;MG;1996;2
26;PE;1996;1
52;GO;1996;0
27;AL;1996;0
50;MS;1996;0
33;RJ;1996;1
15;PA;1996;1
50;MS;1997;3
33;RJ;1997;2217
31;MG;1997;262
29;BA;1997;14
21;MA;1997;33
43;RS;1997;1081
17;TO;1997;21
35;SP;1997;2671
52;GO;1997;68
42;SC;1997;111
28;SE;1997;14
53;DF;1997;73
15;PA;1997;28
13;AM;1997;36
25;PB;1997;26
24;RN;1997;54
16;AP;1997;13
27;AL;1997;43
22;PI;1997;13
51;MT;1997;91
23;CE;1997;55
14;RR;1997;5
41;PR;1997;328
32;ES;1997;105
12;AC;1997;7
26;PE;1997;313
11;RO;1997;32
50;MS;1998;10
25;PB;1998;25
31;MG;1998;363
22;PI;1998;15
17;TO;1998;33
11;RO;1998;72
52;GO;1998;71
43;RS;1998;1019
29;BA;1998;44
16;AP;1998;8
33;RJ;1998;2246
26;PE;1998;485
15;PA;1998;56
42;SC;1998;179
12;AC;1998;10
32;ES;1998;156
41;PR;1998;827
35;SP;1998;6291
53;DF;1998;73
21;MA;1998;29
13;AM;1998;26
28;SE;1998;12
23;CE;1998;97
24;RN;1998;37
51;MT;1998;176
14;RR;1998;20
27;AL;1998;47
33;RJ;1999;2212
16;AP;1999;10
21;MA;1999;37
24;RN;1999;50
13;AM;1999;33
42;SC;1999;217
27;AL;1999;47
28;SE;1999;32
25;PB;1999;34
51;MT;1999;200
41;PR;1999;1025
53;DF;1999;83
12;AC;1999;12
52;GO;1999;148
14;RR;1999;49
22;PI;1999;18
29;BA;1999;88
50;MS;1999;137
35;SP;1999;7723
31;MG;1999;368
15;PA;1999;66
23;CE;1999;145
17;TO;1999;43
32;ES;1999;208
26;PE;1999;528
43;RS;1999;1039
11;RO;1999;96
14;RR;2000;18
12;AC;2000;44
53;DF;2000;97
17;TO;2000;52
15;PA;2000;88
28;SE;2000;62
41;PR;2000;1242
52;GO;2000;269
51;MT;2000;303
24;RN;2000;50
23;CE;2000;182
25;PB;2000;52
13;AM;2000;42
26;PE;2000;476
11;RO;2000;109
32;ES;2000;237
21;MA;2000;56
16;AP;2000;12
50;MS;2000;259
35;SP;2000;8110
27;AL;2000;92
43;RS;2000;1216
29;BA;2000;79
22;PI;2000;33
33;RJ;2000;2447
42;SC;2000;292
31;MG;2000;541
24;RN;2001;58
13;AM;2001;50
53;DF;2001;87
11;RO;2001;178
16;AP;2001;13
42;SC;2001;320
21;MA;2001;81
41;PR;2001;1469
12;AC;2001;31
22;PI;2001;34
35;SP;2001;8301
15;PA;2001;96
17;TO;2001;60
33;RJ;2001;2306
26;PE;2001;491
23;CE;2001;164
32;ES;2001;222
50;MS;2001;265
31;MG;2001;673
27;AL;2001;95
29;BA;2001;132
14;RR;2001;21
25;PB;2001;47
51;MT;2001;276
28;SE;2001;80
43;RS;2001;1342
52;GO;2001;306
27;AL;2002;99
15;PA;2002;127
14;RR;2002;25
22;PI;2002;37
43;RS;2002;1402
26;PE;2002;459
29;BA;2002;134
33;RJ;2002;2631
52;GO;2002;361
53;DF;2002;80
50;MS;2002;284
23;CE;2002;126
11;RO;2002;177
24;RN;2002;58
28;SE;2002;61
13;AM;2002;53
42;SC;2002;396
32;ES;2002;261
31;MG;2002;783
21;MA;2002;90
51;MT;2002;283
16;AP;2002;14
17;TO;2002;39
25;PB;2002;44
41;PR;2002;1644
35;SP;2002;7611
12;AC;2002;43
52;GO;2003;301
33;RJ;2003;2499
15;PA;2003;137
50;MS;2003;268
31;MG;2003;996
27;AL;2003;58
35;SP;2003;7487
14;RR;2003;21
29;BA;2003;140
17;TO;2003;37
22;PI;2003;27
12;AC;2003;35
41;PR;2003;1887
25;PB;2003;44
21;MA;2003;109
51;MT;2003;266
13;AM;2003;47
42;SC;2003;442
24;RN;2003;81
28;SE;2003;54
11;RO;2003;149
53;DF;2003;95
43;RS;2003;1391
16;AP;2003;9
23;CE;2003;149
32;ES;2003;293
26;PE;2003;493
31;MG;2004;1063
25;PB;2004;40
50;MS;2004;245
15;PA;2004;143
26;PE;2004;388
51;MT;2004;234
35;SP;2004;5958
16;AP;2004;9
33;RJ;2004;2307
28;SE;2004;43
41;PR;2004;2030
32;ES;2004;227
17;TO;2004;45
24;RN;2004;61
53;DF;2004;101
11;RO;2004;147
13;AM;2004;63
42;SC;2004;427
12;AC;2004;24
21;MA;2004;79
23;CE;2004;125
22;PI;2004;40
43;RS;2004;1414
29;BA;2004;139
14;RR;2004;13
52;GO;2004;411
27;AL;2004;43
29;BA;2005;150
26;PE;2005;414
12;AC;2005;26
41;PR;2005;2094
25;PB;2005;43
23;CE;2005;138
13;AM;2005;66
21;MA;2005;130
22;PI;2005;43
52;GO;2005;361
17;TO;2005;35
11;RO;2005;134
31;MG;2005;999
43;RS;2005;1415
51;MT;2005;227
16;AP;2005;20
24;RN;2005;65
33;RJ;2005;2238
42;SC;2005;422
28;SE;2005;69
32;ES;2005;213
53;DF;2005;81
35;SP;2005;4575
14;RR;2005;18
50;MS;2005;230
15;PA;2005;155
27;AL;2005;61
27;AL;2006;62
31;MG;2006;1103
11;RO;2006;125
32;ES;2006;211
22;PI;2006;47
21;MA;2006;135
52;GO;2006;332
12;AC;2006;36
50;MS;2006;265
41;PR;2006;2326
14;RR;2006;31
23;CE;2006;148
25;PB;2006;38
53;DF;2006;70
35;SP;2006;4315
29;BA;2006;183
13;AM;2006;77
16;AP;2006;11
26;PE;2006;351
42;SC;2006;439
17;TO;2006;34
15;PA;2006;139
24;RN;2006;71
33;RJ;2006;2217
43;RS;2006;1457
28;SE;2006;76
51;MT;2006;212
17;TO;2007;29
42;SC;2007;450
11;RO;2007;94
41;PR;2007;2220
35;SP;2007;3315
12;AC;2007;26
33;RJ;2007;1883
26;PE;2007;246
32;ES;2007;245
31;MG;2007;1030
27;AL;2007;65
43;RS;2007;1574
29;BA;2007;233
25;PB;2007;32
24;RN;2007;84
28;SE;2007;66
23;CE;2007;185
53;DF;2007;94
13;AM;2007;38
52;GO;2007;341
51;MT;2007;230
14;RR;2007;20
50;MS;2007;274
15;PA;2007;164
22;PI;2007;50
21;MA;2007;144
16;AP;2007;17
24;RN;2008;93
26;PE;2008;387
11;RO;2008;120
33;RJ;2008;1644
14;RR;2008;19
15;PA;2008;186
35;SP;2008;3263
51;MT;2008;211
16;AP;2008;6
29;BA;2008;311
52;GO;2008;364
17;TO;2008;37
23;CE;2008;176
21;MA;2008;144
31;MG;2008;938
25;PB;2008;42
27;AL;2008;55
12;AC;2008;18
41;PR;2008;2413
13;AM;2008;40
32;ES;2008;234
50;MS;2008;274
53;DF;2008;98
43;RS;2008;1685
42;SC;2008;600
22;PI;2008;46
28;SE;2008;65
35;SP;2009;3382
26;PE;2009;328
