cod;nome;período;valor
21;MA;1996;0
25;PB;1996;0
12;AC;1996;0
41;PR;1996;0
15;PA;1996;0
22;PI;1996;0
52;GO;1996;0
50;MS;1996;0
33;RJ;1996;0
26;PE;1996;0
28;SE;1996;0
14;RR;1996;0
42;SC;1996;0
11;RO;1996;0
32;ES;1996;0
51;MT;1996;0
17;TO;1996;0
23;CE;1996;0
31;MG;1996;0
16;AP;1996;0
24;RN;1996;0
13;AM;1996;0
29;BA;1996;0
27;AL;1996;0
35;SP;1996;335
43;RS;1996;0
53;DF;1996;0
22;PI;1997;76
26;PE;1997;586
52;GO;1997;121
42;SC;1997;10
21;MA;1997;170
11;RO;1997;47
16;AP;1997;73
12;AC;1997;3
43;RS;1997;232
33;RJ;1997;3940
41;PR;1997;66
15;PA;1997;237
35;SP;1997;2055
24;RN;1997;118
29;BA;1997;120
17;TO;1997;29
25;PB;1997;67
31;MG;1997;519
50;MS;1997;1
28;SE;1997;47
14;RR;1997;13
32;ES;1997;262
51;MT;1997;212
23;CE;1997;278
13;AM;1997;353
27;AL;1997;124
53;DF;1997;388
15;PA;1998;472
35;SP;1998;5434
17;TO;1998;53
12;AC;1998;21
28;SE;1998;79
24;RN;1998;119
29;BA;1998;248
25;PB;1998;82
53;DF;1998;415
26;PE;1998;1106
31;MG;1998;700
42;SC;1998;34
52;GO;1998;180
27;AL;1998;216
13;AM;1998;404
23;CE;1998;305
51;MT;1998;364
32;ES;1998;328
14;RR;1998;91
11;RO;1998;105
50;MS;1998;8
22;PI;1998;78
33;RJ;1998;3631
43;RS;1998;231
16;AP;1998;134
21;MA;1998;177
41;PR;1998;232
15;PA;1999;462
25;PB;1999;111
35;SP;1999;6182
32;ES;1999;554
27;AL;1999;338
22;PI;1999;85
52;GO;1999;245
42;SC;1999;44
14;RR;1999;82
53;DF;1999;440
28;SE;1999;101
50;MS;1999;124
29;BA;1999;305
17;TO;1999;60
26;PE;1999;2186
23;CE;1999;518
24;RN;1999;122
31;MG;1999;732
21;MA;1999;135
16;AP;1999;163
43;RS;1999;249
33;RJ;1999;3726
13;AM;1999;422
51;MT;1999;387
41;PR;1999;262
12;AC;1999;15
11;RO;1999;153
22;PI;2000;138
53;DF;2000;533
21;MA;2000;230
27;AL;2000;487
13;AM;2000;454
28;SE;2000;171
23;CE;2000;656
11;RO;2000;230
42;SC;2000;47
51;MT;2000;561
32;ES;2000;624
29;BA;2000;802
17;TO;2000;103
14;RR;2000;89
50;MS;2000;273
35;SP;2000;6029
25;PB;2000;351
15;PA;2000;603
12;AC;2000;44
33;RJ;2000;4003
24;RN;2000;161
43;RS;2000;250
41;PR;2000;331
16;AP;2000;124
31;MG;2000;1126
52;GO;2000;472
26;PE;2000;3003
23;CE;2001;638
29;BA;2001;1130
17;TO;2001;126
25;PB;2001;298
12;AC;2001;65
15;PA;2001;725
24;RN;2001;204
42;SC;2001;61
51;MT;2001;573
26;PE;2001;3441
43;RS;2001;300
52;GO;2001;606
41;PR;2001;333
11;RO;2001;275
33;RJ;2001;4003
21;MA;2001;403
35;SP;2001;6096
53;DF;2001;549
28;SE;2001;256
13;AM;2001;371
16;AP;2001;155
31;MG;2001;1304
27;AL;2001;557
32;ES;2001;680
22;PI;2001;155
50;MS;2001;277
14;RR;2001;76
14;RR;2002;83
33;RJ;2002;4634
11;RO;2002;351
21;MA;2002;462
16;AP;2002;149
29;BA;2002;1209
12;AC;2002;92
32;ES;2002;742
23;CE;2002;657
27;AL;2002;616
28;SE;2002;362
15;PA;2002;974
17;TO;2002;110
42;SC;2002;75
26;PE;2002;3395
22;PI;2002;214
41;PR;2002;377
13;AM;2002;415
24;RN;2002;201
52;GO;2002;666
43;RS;2002;288
50;MS;2002;298
53;DF;2002;503
51;MT;2002;549
25;PB;2002;405
31;MG;2002;1776
35;SP;2002;5643
32;ES;2003;816
27;AL;2003;591
12;AC;2003;91
25;PB;2003;458
53;DF;2003;578
26;PE;2003;3375
52;GO;2003;709
13;AM;2003;465
51;MT;2003;544
14;RR;2003;75
50;MS;2003;355
15;PA;2003;1159
43;RS;2003;331
16;AP;2003;159
41;PR;2003;380
17;TO;2003;144
35;SP;2003;5461
21;MA;2003;599
33;RJ;2003;4671
22;PI;2003;217
11;RO;2003;346
31;MG;2003;2340
42;SC;2003;93
23;CE;2003;708
29;BA;2003;1565
24;RN;2003;261
28;SE;2003;262
25;PB;2004;493
26;PE;2004;3224
35;SP;2004;4434
27;AL;2004;666
29;BA;2004;1704
51;MT;2004;512
11;RO;2004;358
41;PR;2004;495
12;AC;2004;73
14;RR;2004;63
50;MS;2004;342
13;AM;2004;406
17;TO;2004;135
22;PI;2004;237
21;MA;2004;587
28;SE;2004;255
33;RJ;2004;4536
23;CE;2004;655
16;AP;2004;146
24;RN;2004;233
32;ES;2004;859
31;MG;2004;2686
15;PA;2004;1274
43;RS;2004;358
42;SC;2004;92
53;DF;2004;538
52;GO;2004;830
24;RN;2005;248
51;MT;2005;579
26;PE;2005;3291
31;MG;2005;2658
52;GO;2005;920
21;MA;2005;725
12;AC;2005;79
33;RJ;2005;4385
41;PR;2005;589
15;PA;2005;1625
43;RS;2005;385
17;TO;2005;133
25;PB;2005;563
29;BA;2005;2216
11;RO;2005;361
16;AP;2005;159
14;RR;2005;64
50;MS;2005;316
28;SE;2005;323
22;PI;2005;266
23;CE;2005;715
32;ES;2005;924
35;SP;2005;3474
27;AL;2005;766
42;SC;2005;88
53;DF;2005;519
13;AM;2005;466
16;AP;2006;176
17;TO;2006;171
41;PR;2006;474
15;PA;2006;1749
33;RJ;2006;4339
28;SE;2006;384
43;RS;2006;351
21;MA;2006;753
14;RR;2006;64
32;ES;2006;1008
50;MS;2006;342
13;AM;2006;551
22;PI;2006;329
51;MT;2006;605
52;GO;2006;985
31;MG;2006;2520
24;RN;2006;291
26;PE;2006;3632
53;DF;2006;537
27;AL;2006;1012
42;SC;2006;78
29;BA;2006;2624
25;PB;2006;648
23;CE;2006;907
12;AC;2006;94
11;RO;2006;386
35;SP;2006;3121
17;TO;2007;164
12;AC;2007;82
14;RR;2007;75
23;CE;2007;1283
53;DF;2007;550
29;BA;2007;2909
33;RJ;2007;3952
42;SC;2007;88
22;PI;2007;285
11;RO;2007;285
13;AM;2007;605
27;AL;2007;1179
24;RN;2007;399
28;SE;2007;350
15;PA;2007;1841
52;GO;2007;970
21;MA;2007;911
31;MG;2007;2528
16;AP;2007;132
25;PB;2007;704
41;PR;2007;575
50;MS;2007;341
43;RS;2007;411
26;PE;2007;3790
35;SP;2007;2417
51;MT;2007;561
32;ES;2007;1081
22;PI;2008;268
15;PA;2008;2445
13;AM;2008;711
50;MS;2008;339
41;PR;2008;640
42;SC;2008;100
53;DF;2008;644
32;ES;2008;1123
29;BA;2008;3876
28;SE;2008;383
14;RR;2008;69
21;MA;2008;1030
43;RS;2008;439
24;RN;2008;510
12;AC;2008;69
17;TO;2008;177
23;CE;2008;1303
16;AP;2008;183
33;RJ;2008;3365
11;RO;2008;298
27;AL;2008;1465
31;MG;2008;2407
26;PE;2008;3641
51;MT;2008;630
35;SP;2008;2265
52;GO;2008;1204
25;PB;2008;852
51;MT;2009;682
53;DF;2009;692
52;GO;2009;1327
50;MS;2009;374
43;RS;2009;409
41;PR;2009;619
35;SP;2009;2385
33;RJ;2009;3237
32;ES;2009;1215
31;MG;2009;2261
29;BA;2009;4455
28;SE;2009;454
27;AL;2009;1499
23;CE;2009;1280
42;SC;2009;107
22;PI;2009;296
21;MA;2009;1143
17;TO;2009;208
16;AP;2009;158
15;PA;2009;2558
14;RR;2009;66
13;AM;2009;786
26;PE;2009;3208
25;PB;2009;1069
24;RN;2009;574
12;AC;2009;97
11;RO;2009;338
32;ES;2010;1171
53;DF;2010;630
16;AP;2010;191
24;RN;2010;582
52;GO;2010;1403
22;PI;2010;299
14;RR;2010;93
50;MS;2010;336
43;RS;2010;398
31;MG;2010;2256
33;RJ;2010;3484
42;SC;2010;114
17;TO;2010;250
21;MA;2010;1242
35;SP;2010;2219
11;RO;2010;364
15;PA;2010;2998
41;PR;2010;619
26;PE;2010;2803
28;SE;2010;533
12;AC;2010;83
23;CE;2010;1600
51;MT;2010;667
13;AM;2010;920
27;AL;2010;1592
25;PB;2010;1227
29;BA;2010;4781
25;PB;2011;1324
33;RJ;2011;2933
26;PE;2011;2790
11;RO;2011;290
21;MA;2011;1255
12;AC;2011;88
28;SE;2011;621
41;PR;2011;599
16;AP;2011;163
27;AL;2011;1899
23;CE;2011;1541
29;BA;2011;4402
43;RS;2011;427
24;RN;2011;757
14;RR;2011;65
42;SC;2011;123
50;MS;2011;376
35;SP;2011;2293
15;PA;2011;2629
31;MG;2011;2622
53;DF;2011;723
17;TO;2011;252
13;AM;2011;1065
51;MT;2011;679
22;PI;2011;327
52;GO;2011;1537
32;ES;2011;1105
12;AC;2012;157
52;GO;2012;1963
17;TO;2012;266
28;SE;2012;748
29;BA;2012;4989
14;RR;2012;93
27;AL;2012;1789
25;PB;2012;1176
41;PR;2012;690
13;AM;2012;1094
32;ES;2012;1205
43;RS;2012;475
11;RO;2012;338
23;CE;2012;1811
26;PE;2012;2805
51;MT;2012;732
16;AP;2012;200
35;SP;2012;2627
22;PI;2012;413
50;MS;2012;402
24;RN;2012;819
33;RJ;2012;2999
42;SC;2012;156
21;MA;2012;1459
31;MG;2012;2896
15;PA;2012;2738
53;DF;2012;785
12;AC;2013;165
15;PA;2013;2830
28;SE;2013;829
23;CE;2013;2088
11;RO;2013;288
29;BA;2013;4709
42;SC;2013;101
24;RN;2013;1064
53;DF;2013;681
31;MG;2013;3076
25;PB;2013;1187
22;PI;2013;451
52;GO;2013;2076
32;ES;2013;1182
26;PE;2013;2572
21;MA;2013;1788
41;PR;2013;540
33;RJ;2013;3247
51;MT;2013;798
13;AM;2013;955
27;AL;2013;1845
17;TO;2013;235
35;SP;2013;2459
50;MS;2013;360
14;RR;2013;123
16;AP;2013;162
43;RS;2013;454
23;CE;2014;2362
33;RJ;2014;3666
27;AL;2014;1829
51;MT;2014;946
22;PI;2014;538
52;GO;2014;1986
25;PB;2014;1244
17;TO;2014;267
31;MG;2014;3153
53;DF;2014;664
13;AM;2014;1038
50;MS;2014;388
24;RN;2014;1233
43;RS;2014;577
35;SP;2014;2612
41;PR;2014;541
29;BA;2014;5095
42;SC;2014;138
28;SE;2014;938
15;PA;2014;2912
14;RR;2014;83
11;RO;2014;386
21;MA;2014;2048
16;AP;2014;213
26;PE;2014;2704
12;AC;2014;171
32;ES;2014;1206
32;ES;2015;1061
16;AP;2015;251
33;RJ;2015;3283
35;SP;2015;2336
28;SE;2015;1157
23;CE;2015;2118
12;AC;2015;169
22;PI;2015;487
29;BA;2015;5112
52;GO;2015;2087
25;PB;2015;1222
51;MT;2015;843
15;PA;2015;3138
14;RR;2015;138
17;TO;2015;342
21;MA;2015;2003
43;RS;2015;601
31;MG;2015;3033
42;SC;2015;185
26;PE;2015;3173
11;RO;2015;397
13;AM;2015;1242
50;MS;2015;367
27;AL;2015;1566
53;DF;2015;551
24;RN;2015;1207
41;PR;2015;611
21;MA;2016;1963
28;SE;2016;1330
23;CE;2016;2363
42;SC;2016;213
29;BA;2016;6132
31;MG;2016;3099
22;PI;2016;563
32;ES;2016;943
33;RJ;2016;4076
17;TO;2016;426
