cod;nome;período;valor
29;BA;1989;80
41;PR;1989;105
35;SP;1989;671
14;RR;1989;12
23;CE;1989;47
51;MT;1989;31
33;RJ;1989;304
16;AP;1989;3
17;TO;1989;14
43;RS;1989;142
22;PI;1989;17
28;SE;1989;15
12;AC;1989;6
15;PA;1989;51
32;ES;1989;75
52;GO;1989;91
42;SC;1989;39
21;MA;1989;28
27;AL;1989;66
50;MS;1989;39
53;DF;1989;23
13;AM;1989;31
31;MG;1989;168
25;PB;1989;52
24;RN;1989;14
11;RO;1989;47
26;PE;1989;173
15;PA;1990;78
29;BA;1990;77
23;CE;1990;45
26;PE;1990;219
35;SP;1990;679
31;MG;1990;148
41;PR;1990;125
14;RR;1990;20
52;GO;1990;58
16;AP;1990;5
51;MT;1990;39
42;SC;1990;46
13;AM;1990;31
33;RJ;1990;477
12;AC;1990;6
17;TO;1990;7
27;AL;1990;55
43;RS;1990;157
24;RN;1990;20
53;DF;1990;40
32;ES;1990;88
22;PI;1990;5
25;PB;1990;41
28;SE;1990;13
11;RO;1990;37
21;MA;1990;32
50;MS;1990;40
26;PE;1991;232
16;AP;1991;5
21;MA;1991;54
17;TO;1991;9
11;RO;1991;33
22;PI;1991;11
52;GO;1991;110
27;AL;1991;67
13;AM;1991;18
35;SP;1991;789
29;BA;1991;64
51;MT;1991;49
41;PR;1991;149
14;RR;1991;9
33;RJ;1991;370
25;PB;1991;40
31;MG;1991;159
50;MS;1991;47
28;SE;1991;21
15;PA;1991;72
42;SC;1991;38
24;RN;1991;17
23;CE;1991;53
32;ES;1991;95
53;DF;1991;52
12;AC;1991;9
43;RS;1991;156
26;PE;1992;171
11;RO;1992;35
50;MS;1992;58
22;PI;1992;10
24;RN;1992;15
32;ES;1992;85
31;MG;1992;154
35;SP;1992;644
42;SC;1992;50
12;AC;1992;13
27;AL;1992;53
23;CE;1992;42
21;MA;1992;30
41;PR;1992;116
13;AM;1992;26
33;RJ;1992;319
43;RS;1992;161
52;GO;1992;125
25;PB;1992;36
51;MT;1992;35
16;AP;1992;4
53;DF;1992;40
14;RR;1992;9
17;TO;1992;5
28;SE;1992;28
15;PA;1992;56
29;BA;1992;79
51;MT;1993;31
35;SP;1993;726
13;AM;1993;33
17;TO;1993;12
28;SE;1993;25
31;MG;1993;181
26;PE;1993;218
50;MS;1993;39
32;ES;1993;101
21;MA;1993;33
27;AL;1993;50
24;RN;1993;21
52;GO;1993;96
42;SC;1993;34
15;PA;1993;46
16;AP;1993;5
43;RS;1993;113
22;PI;1993;13
11;RO;1993;55
12;AC;1993;12
23;CE;1993;61
29;BA;1993;120
33;RJ;1993;381
25;PB;1993;26
14;RR;1993;4
41;PR;1993;138
53;DF;1993;49
35;SP;1994;787
33;RJ;1994;491
41;PR;1994;130
12;AC;1994;11
27;AL;1994;48
26;PE;1994;191
13;AM;1994;27
52;GO;1994;93
51;MT;1994;20
29;BA;1994;180
25;PB;1994;28
14;RR;1994;6
28;SE;1994;32
24;RN;1994;19
50;MS;1994;48
31;MG;1994;170
15;PA;1994;59
23;CE;1994;59
43;RS;1994;138
16;AP;1994;16
32;ES;1994;108
11;RO;1994;37
22;PI;1994;10
42;SC;1994;45
17;TO;1994;13
53;DF;1994;50
21;MA;1994;24
35;SP;1995;959
43;RS;1995;151
23;CE;1995;55
15;PA;1995;59
11;RO;1995;37
31;MG;1995;145
50;MS;1995;51
24;RN;1995;30
21;MA;1995;40
17;TO;1995;5
33;RJ;1995;587
14;RR;1995;8
25;PB;1995;66
29;BA;1995;165
51;MT;1995;66
28;SE;1995;27
13;AM;1995;42
26;PE;1995;205
52;GO;1995;129
27;AL;1995;62
12;AC;1995;16
41;PR;1995;163
53;DF;1995;57
22;PI;1995;19
32;ES;1995;123
16;AP;1995;11
42;SC;1995;48
28;SE;1996;30
52;GO;1996;119
12;AC;1996;15
13;AM;1996;33
51;MT;1996;87
14;RR;1996;18
50;MS;1996;79
15;PA;1996;78
43;RS;1996;192
16;AP;1996;16
42;SC;1996;67
17;TO;1996;21
41;PR;1996;154
21;MA;1996;31
33;RJ;1996;651
35;SP;1996;959
22;PI;1996;14
32;ES;1996;123
23;CE;1996;84
31;MG;1996;185
24;RN;1996;35
25;PB;1996;106
11;RO;1996;43
29;BA;1996;176
26;PE;1996;245
27;AL;1996;70
53;DF;1996;52
43;RS;1997;190
16;AP;1997;12
21;MA;1997;46
32;ES;1997;128
41;PR;1997;157
33;RJ;1997;646
28;SE;1997;18
22;PI;1997;13
35;SP;1997;1028
14;RR;1997;10
29;BA;1997;175
11;RO;1997;33
15;PA;1997;76
26;PE;1997;243
13;AM;1997;33
51;MT;1997;88
24;RN;1997;27
12;AC;1997;14
25;PB;1997;42
23;CE;1997;85
52;GO;1997;94
50;MS;1997;71
17;TO;1997;19
42;SC;1997;51
53;DF;1997;48
31;MG;1997;179
27;AL;1997;62
41;PR;1998;178
29;BA;1998;101
13;AM;1998;52
51;MT;1998;93
33;RJ;1998;560
17;TO;1998;19
42;SC;1998;69
21;MA;1998;30
22;PI;1998;20
11;RO;1998;45
25;PB;1998;41
53;DF;1998;54
32;ES;1998;163
16;AP;1998;12
43;RS;1998;181
27;AL;1998;45
23;CE;1998;56
35;SP;1998;1034
15;PA;1998;67
28;SE;1998;13
31;MG;1998;201
12;AC;1998;12
