cod;nome;período;valor
53;DF;1996;0
13;AM;1996;0
33;RJ;1996;0
15;PA;1996;0
35;SP;1996;143
26;PE;1996;0
22;PI;1996;0
12;AC;1996;0
17;TO;1996;0
31;MG;1996;0
24;RN;1996;0
29;BA;1996;0
23;CE;1996;0
41;PR;1996;0
14;RR;1996;0
32;ES;1996;0
28;SE;1996;0
42;SC;1996;0
25;PB;1996;0
43;RS;1996;0
52;GO;1996;0
11;RO;1996;0
27;AL;1996;0
50;MS;1996;0
16;AP;1996;0
51;MT;1996;0
21;MA;1996;0
43;RS;1997;144
51;MT;1997;21
16;AP;1997;2
23;CE;1997;7
17;TO;1997;3
24;RN;1997;12
25;PB;1997;1
15;PA;1997;2
26;PE;1997;33
31;MG;1997;49
14;RR;1997;1
32;ES;1997;16
13;AM;1997;4
21;MA;1997;8
53;DF;1997;10
33;RJ;1997;250
35;SP;1997;274
12;AC;1997;0
22;PI;1997;3
29;BA;1997;4
11;RO;1997;8
41;PR;1997;36
28;SE;1997;3
42;SC;1997;12
52;GO;1997;13
27;AL;1997;4
50;MS;1997;0
35;SP;1998;573
21;MA;1998;5
53;DF;1998;13
12;AC;1998;1
52;GO;1998;12
11;RO;1998;11
51;MT;1998;23
16;AP;1998;3
50;MS;1998;3
43;RS;1998;137
27;AL;1998;8
42;SC;1998;44
28;SE;1998;2
41;PR;1998;117
29;BA;1998;3
33;RJ;1998;202
13;AM;1998;2
32;ES;1998;22
31;MG;1998;57
14;RR;1998;3
26;PE;1998;60
15;PA;1998;10
25;PB;1998;6
24;RN;1998;8
17;TO;1998;4
23;CE;1998;11
22;PI;1998;5
22;PI;1999;0
42;SC;1999;42
14;RR;1999;8
31;MG;1999;69
24;RN;1999;7
21;MA;1999;3
32;ES;1999;22
23;CE;1999;19
15;PA;1999;1
13;AM;1999;4
11;RO;1999;12
53;DF;1999;15
33;RJ;1999;232
25;PB;1999;13
51;MT;1999;23
29;BA;1999;9
35;SP;1999;644
27;AL;1999;7
12;AC;1999;3
50;MS;1999;19
41;PR;1999;126
52;GO;1999;40
17;TO;1999;3
43;RS;1999;134
16;AP;1999;1
26;PE;1999;55
28;SE;1999;7
26;PE;2000;70
27;AL;2000;10
42;SC;2000;40
11;RO;2000;14
51;MT;2000;33
23;CE;2000;29
17;TO;2000;5
22;PI;2000;3
24;RN;2000;11
15;PA;2000;7
50;MS;2000;38
25;PB;2000;7
52;GO;2000;51
21;MA;2000;4
14;RR;2000;10
31;MG;2000;102
53;DF;2000;7
32;ES;2000;23
13;AM;2000;6
33;RJ;2000;246
29;BA;2000;15
35;SP;2000;740
12;AC;2000;5
16;AP;2000;0
43;RS;2000;147
41;PR;2000;137
28;SE;2000;5
13;AM;2001;8
12;AC;2001;4
16;AP;2001;2
50;MS;2001;29
52;GO;2001;42
43;RS;2001;156
27;AL;2001;11
42;SC;2001;41
28;SE;2001;6
11;RO;2001;23
41;PR;2001;169
35;SP;2001;699
29;BA;2001;13
33;RJ;2001;206
32;ES;2001;33
53;DF;2001;8
31;MG;2001;94
14;RR;2001;1
26;PE;2001;55
25;PB;2001;9
22;PI;2001;7
15;PA;2001;20
24;RN;2001;5
17;TO;2001;9
23;CE;2001;21
21;MA;2001;16
51;MT;2001;33
17;TO;2002;4
16;AP;2002;4
21;MA;2002;7
42;SC;2002;61
12;AC;2002;3
29;BA;2002;15
15;PA;2002;10
23;CE;2002;16
25;PB;2002;7
14;RR;2002;3
50;MS;2002;41
31;MG;2002;120
41;PR;2002;167
53;DF;2002;13
43;RS;2002;162
22;PI;2002;6
24;RN;2002;9
27;AL;2002;7
32;ES;2002;29
11;RO;2002;12
13;AM;2002;7
28;SE;2002;7
52;GO;2002;50
51;MT;2002;37
26;PE;2002;75
35;SP;2002;673
33;RJ;2002;236
24;RN;2003;14
17;TO;2003;5
50;MS;2003;35
33;RJ;2003;228
51;MT;2003;34
12;AC;2003;6
13;AM;2003;5
29;BA;2003;18
35;SP;2003;640
32;ES;2003;42
11;RO;2003;22
16;AP;2003;2
25;PB;2003;4
28;SE;2003;8
14;RR;2003;1
27;AL;2003;5
43;RS;2003;152
22;PI;2003;7
31;MG;2003;152
42;SC;2003;52
15;PA;2003;15
41;PR;2003;190
21;MA;2003;11
53;DF;2003;14
52;GO;2003;45
23;CE;2003;10
26;PE;2003;53
22;PI;2004;10
51;MT;2004;39
50;MS;2004;24
25;PB;2004;5
41;PR;2004;202
27;AL;2004;9
28;SE;2004;6
12;AC;2004;3
43;RS;2004;167
17;TO;2004;4
35;SP;2004;572
29;BA;2004;20
16;AP;2004;1
33;RJ;2004;230
23;CE;2004;15
52;GO;2004;64
11;RO;2004;17
21;MA;2004;9
32;ES;2004;33
13;AM;2004;13
24;RN;2004;4
31;MG;2004;115
42;SC;2004;63
53;DF;2004;8
15;PA;2004;14
26;PE;2004;56
14;RR;2004;3
16;AP;2005;2
53;DF;2005;14
52;GO;2005;46
17;TO;2005;6
50;MS;2005;38
22;PI;2005;8
15;PA;2005;26
13;AM;2005;7
25;PB;2005;7
51;MT;2005;38
35;SP;2005;512
28;SE;2005;4
33;RJ;2005;204
31;MG;2005;143
41;PR;2005;185
42;SC;2005;54
11;RO;2005;14
14;RR;2005;2
24;RN;2005;9
12;AC;2005;5
26;PE;2005;37
23;CE;2005;16
32;ES;2005;30
29;BA;2005;22
27;AL;2005;8
43;RS;2005;186
21;MA;2005;8
50;MS;2006;29
25;PB;2006;9
23;CE;2006;17
11;RO;2006;19
16;AP;2006;3
35;SP;2006;530
12;AC;2006;6
17;TO;2006;4
53;DF;2006;9
32;ES;2006;44
41;PR;2006;196
52;GO;2006;48
21;MA;2006;8
22;PI;2006;4
15;PA;2006;21
13;AM;2006;18
28;SE;2006;9
27;AL;2006;6
42;SC;2006;70
24;RN;2006;10
31;MG;2006;138
14;RR;2006;10
26;PE;2006;37
51;MT;2006;28
29;BA;2006;21
33;RJ;2006;219
43;RS;2006;128
24;RN;2007;11
14;RR;2007;8
26;PE;2007;36
28;SE;2007;9
41;PR;2007;193
50;MS;2007;39
15;PA;2007;26
51;MT;2007;41
32;ES;2007;32
16;AP;2007;4
21;MA;2007;13
43;RS;2007;161
52;GO;2007;51
29;BA;2007;27
12;AC;2007;8
25;PB;2007;8
35;SP;2007;396
22;PI;2007;9
23;CE;2007;27
33;RJ;2007;187
42;SC;2007;60
31;MG;2007;131
17;TO;2007;2
27;AL;2007;11
11;RO;2007;8
53;DF;2007;13
13;AM;2007;7
29;BA;2008;34
52;GO;2008;49
12;AC;2008;5
41;PR;2008;244
28;SE;2008;8
35;SP;2008;451
43;RS;2008;184
33;RJ;2008;133
22;PI;2008;6
11;RO;2008;16
17;TO;2008;4
32;ES;2008;30
13;AM;2008;7
31;MG;2008;133
26;PE;2008;45
51;MT;2008;27
21;MA;2008;12
14;RR;2008;9
25;PB;2008;8
15;PA;2008;27
24;RN;2008;7
16;AP;2008;0
50;MS;2008;38
23;CE;2008;18
27;AL;2008;3
42;SC;2008;74
53;DF;2008;7
31;MG;2009;132
28;SE;2009;9
42;SC;2009;82
27;AL;2009;2
51;MT;2009;38
14;RR;2009;11
52;GO;2009;45
50;MS;2009;40
12;AC;2009;6
41;PR;2009;274
53;DF;2009;14
13;AM;2009;7
15;PA;2009;23
23;CE;2009;25
25;PB;2009;10
22;PI;2009;7
26;PE;2009;42
16;AP;2009;2
35;SP;2009;413
43;RS;2009;186
33;RJ;2009;145
17;TO;2009;8
24;RN;2009;17
21;MA;2009;19
29;BA;2009;32
11;RO;2009;15
32;ES;2009;32
11;RO;2010;11
35;SP;2010;424
15;PA;2010;30
28;SE;2010;6
52;GO;2010;48
27;AL;2010;6
22;PI;2010;10
42;SC;2010;94
17;TO;2010;3
25;PB;2010;8
16;AP;2010;2
21;MA;2010;18
14;RR;2010;2
32;ES;2010;34
53;DF;2010;15
31;MG;2010;141
50;MS;2010;33
41;PR;2010;283
13;AM;2010;5
23;CE;2010;27
51;MT;2010;26
12;AC;2010;3
29;BA;2010;42
43;RS;2010;185
33;RJ;2010;128
26;PE;2010;29
24;RN;2010;13
14;RR;2011;1
53;DF;2011;16
24;RN;2011;11
41;PR;2011;220
31;MG;2011;165
13;AM;2011;15
26;PE;2011;21
51;MT;2011;27
15;PA;2011;27
22;PI;2011;4
16;AP;2011;3
50;MS;2011;38
32;ES;2011;40
43;RS;2011;180
12;AC;2011;4
23;CE;2011;24
27;AL;2011;7
29;BA;2011;40
33;RJ;2011;127
11;RO;2011;14
35;SP;2011;380
28;SE;2011;9
52;GO;2011;67
42;SC;2011;68
17;TO;2011;11
25;PB;2011;18
21;MA;2011;20
27;AL;2012;12
53;DF;2012;11
52;GO;2012;67
51;MT;2012;35
43;RS;2012;202
42;SC;2012;85
41;PR;2012;248
35;SP;2012;370
33;RJ;2012;125
32;ES;2012;17
31;MG;2012;148
25;PB;2012;8
24;RN;2012;16
50;MS;2012;32
23;CE;2012;26
22;PI;2012;5
21;MA;2012;16
17;TO;2012;9
16;AP;2012;2
15;PA;2012;27
14;RR;2012;10
13;AM;2012;28
12;AC;2012;1
29;BA;2012;42
28;SE;2012;9
26;PE;2012;21
11;RO;2012;13
52;GO;2013;66
17;TO;2013;7
50;MS;2013;34
51;MT;2013;28
27;AL;2013;18
53;DF;2013;12
29;BA;2013;42
32;ES;2013;36
43;RS;2013;173
41;PR;2013;223
25;PB;2013;12
42;SC;2013;82
16;AP;2013;2
22;PI;2013;10
28;SE;2013;8
13;AM;2013;22
21;MA;2013;23
12;AC;2013;3
26;PE;2013;27
33;RJ;2013;137
11;RO;2013;20
31;MG;2013;145
14;RR;2013;21
23;CE;2013;34
24;RN;2013;20
15;PA;2013;35
35;SP;2013;401
28;SE;2014;9
24;RN;2014;21
51;MT;2014;33
25;PB;2014;13
41;PR;2014;218
52;GO;2014;77
27;AL;2014;4
29;BA;2014;50
42;SC;2014;88
21;MA;2014;21
23;CE;2014;25
12;AC;2014;4
11;RO;2014;15
22;PI;2014;4
17;TO;2014;6
32;ES;2014;25
43;RS;2014;196
33;RJ;2014;164
16;AP;2014;1
53;DF;2014;13
50;MS;2014;40
13;AM;2014;13
26;PE;2014;33
31;MG;2014;141
35;SP;2014;371
15;PA;2014;21
14;RR;2014;14
32;ES;2015;24
41;PR;2015;193
22;PI;2015;8
28;SE;2015;5
23;CE;2015;21
11;RO;2015;13
16;AP;2015;3
21;MA;2015;27
15;PA;2015;20
53;DF;2015;13
24;RN;2015;9
52;GO;2015;76
25;PB;2015;14
51;MT;2015;30
14;RR;2015;17
50;MS;2015;20
43;RS;2015;223
26;PE;2015;32
13;AM;2015;18
31;MG;2015;139
17;TO;2015;8
42;SC;2015;79
12;AC;2015;5
29;BA;2015;42
33;RJ;2015;150
27;AL;2015;1
35;SP;2015;349
53;DF;2016;11
25;PB;2016;15
50;MS;2016;34
41;PR;2016;190
43;RS;2016;250
33;RJ;2016;142
26;PE;2016;39
17;TO;2016;10
13;AM;2016;22
21;MA;2016;24
31;MG;2016;122
16;AP;2016;2
32;ES;2016;18
11;RO;2016;18
42;SC;2016;80
27;AL;2016;6
12;AC;2016;4
23;CE;2016;14
29;BA;2016;50
22;PI;2016;3
35;SP;2016;302
51;MT;2016;26
28;SE;2016;5
24;RN;2016;19
52;GO;2016;54
14;RR;2016;14
15;PA;2016;14
52;GO;2017;59
53;DF;2017;12
31;MG;2017;122
41;PR;2017;207
26;PE;2017;50
35;SP;2017;321
16;AP;2017;2
21;MA;2017;12
32;ES;2017;26
42;SC;2017;86
24;RN;2017;17
28;SE;2017;12
23;CE;2017;32
12;AC;2017;9
51;MT;2017;22
27;AL;2017;1
25;PB;2017;11
50;MS;2017;28
17;TO;2017;7
43;RS;2017;238
29;BA;2017;55
15;PA;2017;21
11;RO;2017;22
