cod;nome;período;valor
52;GO;1996;0
51;MT;1996;0
32;ES;1996;0
22;PI;1996;0
42;SC;1996;0
41;PR;1996;0
27;AL;1996;0
28;SE;1996;0
13;AM;1996;0
50;MS;1996;0
25;PB;1996;0
24;RN;1996;0
15;PA;1996;0
17;TO;1996;0
11;RO;1996;0
26;PE;1996;0
43;RS;1996;0
53;DF;1996;0
29;BA;1996;0
16;AP;1996;0
35;SP;1996;24
33;RJ;1996;0
21;MA;1996;0
14;RR;1996;0
12;AC;1996;0
23;CE;1996;0
31;MG;1996;0
11;RO;1997;4
31;MG;1997;60
16;AP;1997;7
17;TO;1997;4
28;SE;1997;3
32;ES;1997;20
25;PB;1997;8
29;BA;1997;11
26;PE;1997;37
33;RJ;1997;294
42;SC;1997;1
51;MT;1997;23
24;RN;1997;10
21;MA;1997;18
35;SP;1997;151
43;RS;1997;23
15;PA;1997;23
12;AC;1997;3
22;PI;1997;8
13;AM;1997;25
23;CE;1997;20
41;PR;1997;4
50;MS;1997;0
53;DF;1997;31
27;AL;1997;8
14;RR;1997;2
52;GO;1997;16
15;PA;1998;45
28;SE;1998;5
27;AL;1998;18
11;RO;1998;7
33;RJ;1998;255
26;PE;1998;65
25;PB;1998;5
17;TO;1998;12
24;RN;1998;7
12;AC;1998;1
52;GO;1998;12
53;DF;1998;37
22;PI;1998;12
31;MG;1998;92
41;PR;1998;22
32;ES;1998;32
42;SC;1998;2
50;MS;1998;2
51;MT;1998;46
29;BA;1998;24
43;RS;1998;30
14;RR;1998;9
16;AP;1998;9
13;AM;1998;45
21;MA;1998;18
23;CE;1998;11
35;SP;1998;351
27;AL;1999;30
26;PE;1999;143
35;SP;1999;412
13;AM;1999;45
12;AC;1999;2
15;PA;1999;31
28;SE;1999;12
42;SC;1999;1
17;TO;1999;9
23;CE;1999;34
53;DF;1999;40
29;BA;1999;41
24;RN;1999;13
22;PI;1999;6
52;GO;1999;28
31;MG;1999;110
43;RS;1999;21
16;AP;1999;16
14;RR;1999;6
51;MT;1999;34
32;ES;1999;45
50;MS;1999;13
21;MA;1999;14
11;RO;1999;15
41;PR;1999;30
33;RJ;1999;265
25;PB;1999;7
17;TO;2000;10
31;MG;2000;125
32;ES;2000;49
52;GO;2000;53
35;SP;2000;378
50;MS;2000;30
16;AP;2000;4
24;RN;2000;10
26;PE;2000;202
29;BA;2000;90
53;DF;2000;32
23;CE;2000;51
42;SC;2000;9
11;RO;2000;22
21;MA;2000;24
41;PR;2000;22
27;AL;2000;46
28;SE;2000;15
15;PA;2000;55
33;RJ;2000;265
13;AM;2000;28
25;PB;2000;32
14;RR;2000;12
51;MT;2000;47
22;PI;2000;8
43;RS;2000;22
12;AC;2000;7
11;RO;2001;35
50;MS;2001;31
35;SP;2001;379
23;CE;2001;58
32;ES;2001;58
12;AC;2001;5
27;AL;2001;31
13;AM;2001;45
52;GO;2001;61
28;SE;2001;15
24;RN;2001;17
17;TO;2001;14
31;MG;2001;119
