período,populacao,nome
1991,417102,AC
1991,2512658,AL
1991,2102766,AM
1991,289035,AP
1991,11867336,BA
1991,6366132,CE
1991,1601093,DF
1991,2600619,ES
1991,4017506,GO
1991,4929676,MA
1991,15743536,MG
1991,1780385,MS
1991,2026069,MT
1991,4949222,PA
1991,3201324,PB
1991,7127956,PE
1991,2582075,PI
1991,8448620,PR
1991,12807197,RJ
1991,2415077,RN
1991,1133265,RO
1991,217583,RR
1991,9138463,RS
1991,4542048,SC
1991,1491878,SE
1991,31588794,SP
1991,918400,TO
1992,428006,AC
1992,2548092,AL
1992,2165852,AM
1992,299305,AP
1992,12014023,BA
1992,6433713,CE
1992,1639035,DF
1992,2649747,ES
1992,4098513,GO
1992,4990749,MA
1992,15941939,MG
1992,1818175,MS
1992,2107698,MT
1992,5328133,PA
1992,3229163,PB
1992,7187355,PE
1992,2610476,PI
1992,8511279,PR
1992,12916705,RJ
1992,2448267,RN
1992,1190739,RO
1992,228749,RR
1992,9249199,RS
1992,4614268,SC
1992,1515142,SE
1992,32126058,SP
1992,946604,TO
1993,437495,AC
1993,2604394,AL
1993,2217600,AM
1993,308787,AP
1993,12278027,BA
1993,6549847,CE
1993,1673151,DF
1993,2698687,ES
1993,4171489,GO
1993,5088898,MA
1993,16144856,MG
1993,1850162,MS
1993,2178178,MT
1993,5212812,PA
1993,3274323,PB
1993,7295118,PE
1993,2657415,PI
1993,8587901,PR
1993,13065279,RJ
1993,2503463,RN
1993,1241693,RO
1993,241099,RR
1993,9370531,RS
1993,4697277,SC
1993,1551633,SE
1993,32701353,SP
1993,970259,TO
1994,446480,AC
1994,2645417,AL
1994,2269555,AM
1994,317597,AP
1994,12464316,BA
1994,6633080,CE
1994,1705889,DF
1994,2743243,ES
1994,4240812,GO
1994,5160974,MA
1994,16327360,MG
1994,1881868,MS
1994,2246757,MT
1994,5332187,PA
1994,3307583,PB
1994,7371110,PE
1994,2691615,PI
1994,8651138,PR
1994,13182301,RJ
1994,2543397,RN
1994,1291214,RO
1994,251783,RR
1994,9475871,RS
1994,4767826,SC
1994,1578782,SE
1994,33206755,SP
1994,990760,TO
1995,455242,AC
1995,2685421,AL
1995,2320221,AM
1995,326188,AP
1995,12645982,BA
1995,6714246,CE
1995,1737813,DF
1995,2786692,ES
1995,4308415,GO
1995,5231261,MA
1995,16505334,MG
1995,1912788,MS
1995,2313634,MT
1995,5448598,PA
1995,3340018,PB
1995,7445216,PE
1995,2724967,PI
1995,8712805,PR
1995,13296419,RJ
1995,2582339,RN
1995,1339507,RO
1995,262201,RR
1995,9578597,RS
1995,4836624,SC
1995,1605257,SE
1995,33699614,SP
1995,1007041,TO
1996,483593,AC
1996,2633251,AL
1996,2389279,AM
1996,379459,AP
1996,12541675,BA
1996,6809290,CE
1996,1821946,DF
1996,2802707,ES
1996,4514967,GO
1996,5222183,MA
1996,16672613,MG
1996,1927834,MS
1996,2235832,MT
1996,5510849,PA
1996,3305616,PB
1996,7399071,PE
1996,2673085,PI
1996,9003804,PR
1996,13406308,RJ
1996,2558660,RN
1996,1229306,RO
1996,247131,RR
1996,9634688,RS
1996,4875244,SC
1996,1624020,SE
1996,34119110,SP
1996,1048642,TO
1997,500185,AC
1997,2663071,AL
1997,2460602,AM
