cod;nome;período;valor;populacao
12.0;AC;1989;95.0;
12.0;AC;1990;64.0;
12.0;AC;1991;106.0;417102.0
12.0;AC;1992;107.0;428006.0
12.0;AC;1993;116.0;437495.0
12.0;AC;1994;88.0;446480.0
12.0;AC;1995;103.0;455242.0
12.0;AC;1996;104.0;483593.0
12.0;AC;1997;100.0;500185.0
12.0;AC;1998;110.0;514050.0
12.0;AC;1999;51.0;527937.0
12.0;AC;2000;106.0;557882.0
12.0;AC;2001;121.0;574355.0
12.0;AC;2002;151.0;586942.0
12.0;AC;2003;147.0;600595.0
12.0;AC;2004;114.0;630328.0
12.0;AC;2005;124.0;669736.0
12.0;AC;2006;158.0;686652.0
12.0;AC;2007;137.0;655385.0
12.0;AC;2008;133.0;680073.0
12.0;AC;2009;153.0;691132.0
12.0;AC;2010;165.0;733559.0
12.0;AC;2011;164.0;746386.0
12.0;AC;2012;208.0;758786.0
12.0;AC;2013;234.0;776463.0
12.0;AC;2014;232.0;790101.0
12.0;AC;2015;217.0;803513.0
12.0;AC;2016;363.0;816687.0
12.0;AC;2017;516.0;829619.0
12.0;AC;2018;409.0;869265.0
12.0;AC;2019;325.0;881935.0
12.0;AC;2020;304.0;894470.0
12.0;AC;2021;205.0;906876.0
12.0;AC;2022;238.0;830018.0
12.0;AC;2023;217.0;830018.0
;AC;2024;;880631.0
;AC;2025;;884372.0
27.0;AL;1989;805.0;
27.0;AL;1990;719.0;
27.0;AL;1991;665.0;2512658.0
27.0;AL;1992;591.0;2548092.0
27.0;AL;1993;619.0;2604394.0
27.0;AL;1994;615.0;2645417.0
27.0;AL;1995;742.0;2685421.0
27.0;AL;1996;741.0;2633251.0
27.0;AL;1997;642.0;2663071.0
27.0;AL;1998;582.0;2688117.0
27.0;AL;1999;554.0;2713203.0
27.0;AL;2000;727.0;2827856.0
27.0;AL;2001;830.0;2856629.0
27.0;AL;2002;991.0;2887535.0
27.0;AL;2003;1039.0;2917664.0
27.0;AL;2004;1035.0;2980910.0
27.0;AL;2005;1203.0;3015912.0
27.0;AL;2006;1620.0;3050652.0
27.0;AL;2007;1836.0;3037231.0
27.0;AL;2008;1887.0;3127557.0
27.0;AL;2009;1873.0;3156108.0
27.0;AL;2010;2087.0;3120494.0
27.0;AL;2011;2244.0;3143384.0
27.0;AL;2012;2046.0;3165472.0
27.0;AL;2013;2148.0;3300935.0
27.0;AL;2014;2085.0;3321730.0
27.0;AL;2015;1748.0;3340932.0
27.0;AL;2016;1820.0;3358963.0
27.0;AL;2017;1813.0;3375823.0
27.0;AL;2018;1441.0;3322820.0
27.0;AL;2019;1115.0;3337357.0
27.0;AL;2020;1292.0;3351543.0
27.0;AL;2021;1070.0;3365351.0
27.0;AL;2022;1136.0;3127683.0
27.0;AL;2023;1194.0;3127683.0
;AL;2024;;3220104.0
;AL;2025;;3220848.0
13.0;AM;1989;321.0;
13.0;AM;1990;367.0;
13.0;AM;1991;403.0;2102766.0
13.0;AM;1992;351.0;2165852.0
13.0;AM;1993;350.0;2217600.0
13.0;AM;1994;387.0;2269555.0
13.0;AM;1995;425.0;2320221.0
13.0;AM;1996;450.0;2389279.0
13.0;AM;1997;468.0;2460602.0
13.0;AM;1998;534.0;2520684.0
13.0;AM;1999;527.0;2580860.0
13.0;AM;2000;552.0;2817253.0
13.0;AM;2001;485.0;2900240.0
13.0;AM;2002;513.0;2961801.0
13.0;AM;2003;558.0;3031068.0
13.0;AM;2004;526.0;3138726.0
13.0;AM;2005;599.0;3232330.0
13.0;AM;2006;699.0;3311026.0
13.0;AM;2007;715.0;3221940.0
13.0;AM;2008;830.0;3341096.0
13.0;AM;2009;916.0;3393369.0
13.0;AM;2010;1082.0;3483985.0
13.0;AM;2011;1292.0;3538387.0
13.0;AM;2012;1344.0;3590985.0
13.0;AM;2013;1191.0;3807921.0
13.0;AM;2014;1240.0;3873743.0
13.0;AM;2015;1472.0;3938336.0
13.0;AM;2016;1452.0;4001667.0
13.0;AM;2017;1674.0;4063614.0
13.0;AM;2018;1542.0;4080611.0
13.0;AM;2019;1592.0;4144597.0
13.0;AM;2020;1326.0;4207714.0
13.0;AM;2021;1816.0;4269995.0
13.0;AM;2022;1771.0;3941613.0
13.0;AM;2023;1555.0;3941613.0
;AM;2024;;4281209.0
;AM;2025;;4321616.0
16.0;AP;1989;39.0;
16.0;AP;1990;46.0;
16.0;AP;1991;54.0;289035.0
16.0;AP;1992;73.0;299305.0
16.0;AP;1993;66.0;308787.0
16.0;AP;1994;125.0;317597.0
16.0;AP;1995;124.0;326188.0
16.0;AP;1996;157.0;379459.0
16.0;AP;1997;140.0;401916.0
16.0;AP;1998;160.0;420834.0
16.0;AP;1999;192.0;439781.0
16.0;AP;2000;156.0;477032.0
16.0;AP;2001;182.0;498735.0
