cod;nome;período;ValorHomens;ValorHomensNegros;ValorHomensNaoNegros
11;RO;1989;443;;
11;RO;1990;517;;
11;RO;1991;455;;
11;RO;1992;360;;
11;RO;1993;439;;
11;RO;1994;360;;
11;RO;1995;292;;
11;RO;1996;256;0.0;0.0
11;RO;1997;322;47.0;32.0
11;RO;1998;449;105.0;72.0
11;RO;1999;392;153.0;96.0
11;RO;2000;419;230.0;109.0
11;RO;2001;508;275.0;178.0
11;RO;2002;569;351.0;177.0
11;RO;2003;514;346.0;149.0
11;RO;2004;529;358.0;147.0
11;RO;2005;506;361.0;134.0
11;RO;2006;531;386.0;125.0
11;RO;2007;404;285.0;94.0
11;RO;2008;440;298.0;120.0
11;RO;2009;486;338.0;127.0
11;RO;2010;508;364.0;131.0
11;RO;2011;401;290.0;102.0
11;RO;2012;475;338.0;124.0
11;RO;2013;431;288.0;131.0
11;RO;2014;521;386.0;127.0
11;RO;2015;537;397.0;129.0
11;RO;2016;649;483.0;158.0
11;RO;2017;491;357.0;123.0
11;RO;2018;432;323.0;103.0
11;RO;2019;401;295.0;103.0
11;RO;2020;402;311.0;89.0
11;RO;2021;482;359.0;117.0
11;RO;2022;536;414.0;119.0
11;RO;2023;498;406.0;89.0
12;AC;1989;89;;
12;AC;1990;58;;
12;AC;1991;97;;
12;AC;1992;94;;
12;AC;1993;101;;
12;AC;1994;77;;
12;AC;1995;86;;
12;AC;1996;89;0.0;1.0
12;AC;1997;86;3.0;7.0
12;AC;1998;98;21.0;10.0
12;AC;1999;44;15.0;12.0
12;AC;2000;93;44.0;44.0
12;AC;2001;109;65.0;31.0
12;AC;2002;140;92.0;43.0
12;AC;2003;132;91.0;35.0
12;AC;2004;104;73.0;24.0
12;AC;2005;111;79.0;26.0
12;AC;2006;143;94.0;36.0
12;AC;2007;119;82.0;26.0
12;AC;2008;120;69.0;18.0
12;AC;2009;137;97.0;10.0
12;AC;2010;146;83.0;25.0
12;AC;2011;146;88.0;12.0
12;AC;2012;192;157.0;17.0
12;AC;2013;202;165.0;20.0
12;AC;2014;212;171.0;35.0
12;AC;2015;198;169.0;25.0
12;AC;2016;340;288.0;39.0
12;AC;2017;481;404.0;68.0
12;AC;2018;374;322.0;43.0
12;AC;2019;290;252.0;30.0
12;AC;2020;273;232.0;32.0
12;AC;2021;176;158.0;18.0
12;AC;2022;213;185.0;21.0
12;AC;2023;197;174.0;21.0
13;AM;1989;289;;
13;AM;1990;332;;
13;AM;1991;384;;
13;AM;1992;321;;
13;AM;1993;316;;
13;AM;1994;359;;
13;AM;1995;383;;
13;AM;1996;417;0.0;0.0
13;AM;1997;433;353.0;36.0
13;AM;1998;481;404.0;26.0
13;AM;1999;475;422.0;33.0
13;AM;2000;516;454.0;42.0
13;AM;2001;430;371.0;50.0
13;AM;2002;478;415.0;53.0
13;AM;2003;523;465.0;47.0
13;AM;2004;477;406.0;63.0
13;AM;2005;551;466.0;66.0
13;AM;2006;646;551.0;77.0
13;AM;2007;663;605.0;38.0
13;AM;2008;767;711.0;40.0
13;AM;2009;849;786.0;37.0
13;AM;2010;1017;920.0;71.0
13;AM;2011;1210;1065.0;131.0
13;AM;2012;1225;1094.0;121.0
13;AM;2013;1095;955.0;122.0
13;AM;2014;1159;1038.0;92.0
13;AM;2015;1357;1242.0;100.0
13;AM;2016;1335;1231.0;84.0
13;AM;2017;1559;1418.0;130.0
13;AM;2018;1415;1300.0;106.0
13;AM;2019;1472;1284.0;172.0
13;AM;2020;1241;1093.0;125.0
13;AM;2021;1679;1505.0;137.0
13;AM;2022;1651;1461.0;168.0
13;AM;2023;1433;1266.0;167.0
14;RR;1989;100;;
14;RR;1990;107;;
14;RR;1991;70;;
14;RR;1992;86;;
14;RR;1993;63;;
14;RR;1994;72;;
14;RR;1995;79;;
14;RR;1996;89;0.0;0.0
14;RR;1997;80;13.0;5.0
14;RR;1998;122;91.0;20.0
14;RR;1999;139;82.0;49.0
14;RR;2000;108;89.0;18.0
14;RR;2001;101;76.0;21.0
14;RR;2002;110;83.0;25.0
14;RR;2003;100;75.0;21.0
14;RR;2004;78;63.0;13.0
14;RR;2005;84;64.0;18.0
14;RR;2006;96;64.0;31.0
14;RR;2007;97;75.0;20.0
14;RR;2008;90;69.0;19.0
14;RR;2009;94;66.0;26.0
14;RR;2010;110;93.0;11.0
14;RR;2011;84;65.0;14.0
14;RR;2012;126;93.0;31.0
14;RR;2013;178;123.0;50.0
14;RR;2014;133;83.0;46.0
14;RR;2015;174;138.0;36.0
14;RR;2016;179;145.0;33.0
14;RR;2017;221;169.0;50.0
14;RR;2018;360;282.0;76.0
14;RR;2019;201;148.0;48.0
14;RR;2020;199;150.0;48.0
14;RR;2021;238;181.0;56.0
