cod;nome;período;ValorMulheres;ValorMulheresNegras;ValorMulheresNaoNegras
11;RO;1989;47;;
11;RO;1990;37;;
11;RO;1991;33;;
11;RO;1992;35;;
11;RO;1993;55;;
11;RO;1994;37;;
11;RO;1995;37;;
11;RO;1996;43;0.0;0.0
11;RO;1997;33;4.0;8.0
11;RO;1998;45;7.0;11.0
11;RO;1999;38;15.0;12.0
11;RO;2000;46;22.0;14.0
11;RO;2001;65;35.0;23.0
11;RO;2002;44;25.0;12.0
11;RO;2003;51;29.0;22.0
11;RO;2004;33;13.0;17.0
11;RO;2005;49;30.0;14.0
11;RO;2006;51;31.0;19.0
11;RO;2007;28;20.0;8.0
11;RO;2008;39;20.0;16.0
11;RO;2009;51;35.0;15.0
11;RO;2010;37;23.0;11.0
11;RO;2011;48;31.0;14.0
11;RO;2012;51;36.0;13.0
11;RO;2013;52;28.0;20.0
11;RO;2014;56;38.0;15.0
11;RO;2015;63;49.0;13.0
11;RO;2016;54;34.0;18.0
11;RO;2017;62;40.0;22.0
11;RO;2018;42;28.0;14.0
11;RO;2019;43;31.0;11.0
11;RO;2020;54;39.0;12.0
11;RO;2021;54;36.0;18.0
11;RO;2022;65;46.0;18.0
11;RO;2023;54;40.0;13.0
12;AC;1989;6;;
12;AC;1990;6;;
12;AC;1991;9;;
12;AC;1992;13;;
12;AC;1993;12;;
12;AC;1994;11;;
12;AC;1995;16;;
12;AC;1996;15;0.0;0.0
12;AC;1997;14;3.0;0.0
12;AC;1998;12;1.0;1.0
12;AC;1999;7;2.0;3.0
12;AC;2000;13;7.0;5.0
12;AC;2001;12;5.0;4.0
12;AC;2002;11;8.0;3.0
12;AC;2003;15;7.0;6.0
12;AC;2004;10;7.0;3.0
12;AC;2005;13;8.0;5.0
12;AC;2006;15;8.0;6.0
12;AC;2007;18;9.0;8.0
12;AC;2008;13;5.0;5.0
12;AC;2009;16;6.0;6.0
12;AC;2010;19;13.0;3.0
12;AC;2011;18;11.0;4.0
12;AC;2012;16;14.0;1.0
12;AC;2013;32;29.0;3.0
12;AC;2014;20;16.0;4.0
12;AC;2015;19;14.0;5.0
12;AC;2016;23;19.0;4.0
12;AC;2017;34;24.0;9.0
12;AC;2018;35;28.0;6.0
12;AC;2019;32;25.0;5.0
12;AC;2020;27;21.0;6.0
12;AC;2021;28;26.0;2.0
12;AC;2022;23;16.0;5.0
12;AC;2023;18;15.0;3.0
13;AM;1989;31;;
13;AM;1990;31;;
13;AM;1991;18;;
13;AM;1992;26;;
13;AM;1993;33;;
13;AM;1994;27;;
13;AM;1995;42;;
13;AM;1996;33;0.0;0.0
13;AM;1997;33;25.0;4.0
13;AM;1998;52;45.0;2.0
13;AM;1999;51;45.0;4.0
13;AM;2000;36;28.0;6.0
13;AM;2001;55;45.0;8.0
13;AM;2002;35;27.0;7.0
13;AM;2003;35;30.0;5.0
13;AM;2004;49;34.0;13.0
13;AM;2005;48;40.0;7.0
13;AM;2006;53;33.0;18.0
13;AM;2007;52;43.0;7.0
13;AM;2008;63;56.0;7.0
13;AM;2009;67;60.0;7.0
13;AM;2010;65;60.0;5.0
13;AM;2011;81;66.0;15.0
13;AM;2012;118;89.0;28.0
13;AM;2013;96;71.0;22.0
13;AM;2014;80;64.0;13.0
13;AM;2015;115;96.0;18.0
13;AM;2016;116;93.0;22.0
13;AM;2017;115;98.0;16.0
13;AM;2018;127;110.0;15.0
13;AM;2019;118;93.0;25.0
13;AM;2020;85;66.0;18.0
13;AM;2021;135;111.0;24.0
13;AM;2022;118;91.0;26.0
13;AM;2023;122;107.0;16.0
14;RR;1989;12;;
14;RR;1990;20;;
14;RR;1991;9;;
14;RR;1992;9;;
14;RR;1993;4;;
14;RR;1994;6;;
14;RR;1995;8;;
14;RR;1996;18;0.0;0.0
14;RR;1997;10;2.0;1.0
14;RR;1998;12;9.0;3.0
14;RR;1999;15;6.0;8.0
14;RR;2000;22;12.0;10.0
14;RR;2001;7;6.0;1.0
14;RR;2002;12;9.0;3.0
14;RR;2003;6;5.0;1.0
14;RR;2004;7;3.0;3.0
14;RR;2005;11;9.0;2.0
14;RR;2006;13;3.0;10.0
14;RR;2007;19;10.0;8.0
14;RR;2008;15;5.0;9.0
14;RR;2009;24;12.0;11.0
14;RR;2010;11;9.0;2.0
14;RR;2011;10;9.0;1.0
